,ngay,KLDichRong,GiaTriGiaoDichRong,ThayDoi,KhoiLuongMua,GiaTriMua,KhoiLuongBan,GiaTriBan,symbol  
0,24/01/2022,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

1,21/01/2022,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

2,20/01/2022,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

3,19/01/2022,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

4,18/01/2022,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

5,17/01/2022,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

6,14/01/2022,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

7,13/01/2022,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

8,12/01/2022,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

9,11/01/2022,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

10,10/01/2022,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

11,07/01/2022,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

12,06/01/2022,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

13,05/01/2022,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

14,04/01/2022,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

15,31/12/2021,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

16,30/12/2021,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

17,29/12/2021,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

18,28/12/2021,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

19,27/12/2021,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

0,24/12/2021,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

1,23/12/2021,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

2,22/12/2021,0 ,0 ,6.7 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

3,21/12/2021,0 ,0 ,6.7 (-14.10 %)   ,0 ,0 ,0 ,0 ,HLR

4,20/12/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

5,17/12/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

6,16/12/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

7,15/12/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

8,14/12/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

9,13/12/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

10,10/12/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

11,09/12/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

12,08/12/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

13,07/12/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

14,06/12/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

15,03/12/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

16,02/12/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

17,01/12/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

18,30/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

19,29/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

0,26/11/2021,0 ,0 ,7.8 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

